tick,event,atm_min,atm_max,atm_mean,wave_p_min,wave_p_max,fire_max,smoke_max,wave_source_max
295,,1.6246,1.7601,1.7407,0.0000,1.3324,1.0000,1.0000,0.0009
296,,1.6314,1.7673,1.7479,0.0000,1.3324,1.0000,1.0000,0.0009
297,,1.6383,1.7745,1.7551,0.0000,1.3324,1.0000,1.0000,0.0009
298,,1.6451,1.7817,1.7622,0.0000,1.3324,1.0000,1.0000,0.0009
299,,1.6520,1.7889,1.7694,0.0000,1.3324,1.0000,1.0000,0.0009
300,,1.6588,1.7961,1.7766,0.0000,1.3324,1.0000,1.0000,0.0009
301,,1.6657,1.8032,1.7837,0.0000,1.3324,1.0000,1.0000,0.0009
302,,1.6726,1.8104,1.7909,0.0000,1.3324,1.0000,1.0000,0.0009
303,,1.6794,1.8176,1.7981,0.0000,1.3324,1.0000,1.0000,0.0009
304,,1.6863,1.8248,1.8052,0.0000,1.3324,1.0000,1.0000,0.0009
305,,1.6932,1.8320,1.8124,0.0000,1.3324,1.0000,1.0000,0.0009
306,,1.7000,1.8392,1.8196,0.0000,1.3324,1.0000,1.0000,0.0009
307,,1.7069,1.8464,1.8267,0.0000,1.3324,1.0000,1.0000,0.0009
308,,1.7138,1.8536,1.8339,0.0000,1.3324,1.0000,1.0000,0.0009
309,,1.7207,1.8608,1.8411,0.0000,1.3324,1.0000,1.0000,0.0009
310,,1.7276,1.8679,1.8482,0.0000,1.3324,1.0000,1.0000,0.0009
311,,1.7345,1.8752,1.8554,0.0000,1.3324,1.0000,1.0000,0.0009
312,,1.7414,1.8825,1.8626,0.0000,1.3324,1.0000,1.0000,0.0009
313,,1.7483,1.8899,1.8697,0.0000,1.3324,1.0000,1.0000,0.0009
314,,1.7552,1.8972,1.8769,0.0000,1.3324,1.0000,1.0000,0.0009
